Project, Author, Generic, Catch/Try, Try/If, Inheritance/Class, Interface/Class, 
acacia-editor/, tHerrmann, 72, 1.0, 0.0145102781137, 0.753086419753, 0.401234567901, 
acacia-editor/, gWestenberger, 3, 0, 0.0, 0.551724137931, 0.448275862069, 
acacia-editor/, pStrudthoff, 0, 1.0, 0.190476190476, 0, 0, 
acacia-editor/, ruKurz, 0, 0, 0, 0, 0,
acceleo/, Laurent, 4, 1.0, 0.020618556701, 0.695652173913, 0.217391304348, 
acceleo/, jmusset, 584, 1.07349298101, 0.0944765173974, 0.685591603053, 0.406488549618, 
acceleo/, Yvan, 1, 4.0, 0.666666666667, 1.0, 0.0, 
acceleo/, Pierre-Charles, 0, 0, 0, 0, 0, 
acceleo/, cbrun, 4, 2.0, 0.111111111111, 0.5, 0.5, 
acceleo/, lgoubet, 244, 1.14419475655, 0.100735710243, 0.652247667515, 0.233248515691, 
acceleo/, ylussaud, 7, 1.015625, 0.286995515695, 0.917525773196, 1.28865979381, 
acceleo/, sbegaudeau, 83, 1.14150943396, 0.156035328754, 0.660550458716, 0.229357798165, 
acromusashi-stream-example/, AcroMUSASHI, 1, 1.0, 0.5, 0.793103448276, 0.0172413793103, 
acromusashi-stream-example/, Sotaro, 0, 1.0, 0.857142857143, 0.733333333333, 0.0666666666667, 
acromusashi-stream-example/, Kimura, 0, 0, 0, 0, 0,
acromusashi-stream-example/, kimutansk, 1, 1.0, 0.6, 1.0, 0.0, 
acromusashi-stream-example/, acromusashi, 0, 0, 0, 0.0, 0.0, 
ActiveAndroid/, pedro_mw, 0, 0, 0, 0, 0, 
ActiveAndroid/, pardom, 0, 0, 0, 0, 0,
ActiveAndroid/, sigi, 0, 0, 0, 0, 0, 
ActiveAndroid/, Niki, 0, 0.5, 0.275862068966, 0.625, 0.0, 
ActiveAndroid/, Josh, 0, 0.0, 1.0, 0, 0, 
ActiveAndroid/, Kentaro, 0, 0.0, 1.0, 1.0, 0.0, 
ActiveAndroid/, vsigler, 0, 0, 0.0, 1.0, 0.0, 
ActiveAndroid/, Hielke, 0, 0, 0.0, 1.0, 0.0, 
ActiveAndroid/, Wendly.Li, 0, 0, 0.0, 1.0, 0.0, 
ActiveAndroid/, harward, 0, 1.0, 0.111111111111, 0.0, 1.0, 
ActiveAndroid/, melvin7, 1, 0.333333333333, 0.6, 0, 0, 
ActiveAndroid/, Andrew, 0, 0, 0, 0, 0, 
