Project, Author, Percent of Libs Used, Number of Libraries, 
acacia-editor/, tHerrmann, 96.9230769231, 195, 
acacia-editor/, gWestenberger, 26.1538461538, 195, 
acacia-editor/, pStrudthoff, 4.61538461538, 195, 
acacia-editor/, ruKurz, 0.0, 195, 
acceleo/, Laurent, 4.31320504313, 1507, 
acceleo/, jmusset, 95.3550099536, 1507, 
acceleo/, Yvan, 0.663570006636, 1507, 
acceleo/, Pierre-Charles, 0.0663570006636, 1507, 
acceleo/, cbrun, 1.39349701393, 1507, 
acceleo/, lgoubet, 43.9946914399, 1507, 
acceleo/, ylussaud, 8.42733908427, 1507, 
acceleo/, sbegaudeau, 28.5335102853, 1507, 
acromusashi-stream-example/, AcroMUSASHI, 100.0, 102, 
acromusashi-stream-example/, Sotaro, 74.5098039216, 102, 
acromusashi-stream-example/, Kimura, 0.0, 102, 
acromusashi-stream-example/, kimutansk, 24.5098039216, 102, 
acromusashi-stream-example/, acromusashi, 14.7058823529, 102, 
ActiveAndroid/, pedro_mw, 0.0, 86, 
ActiveAndroid/, pardom, 0.0, 86, 
ActiveAndroid/, sigi, 0.0, 86, 
ActiveAndroid/, Niki, 27.9069767442, 86, 
ActiveAndroid/, Josh, 4.6511627907, 86, 
ActiveAndroid/, Kentaro, 9.3023255814, 86, 
ActiveAndroid/, vsigler, 5.81395348837, 86, 
ActiveAndroid/, Hielke, 1.16279069767, 86, 
ActiveAndroid/, Wendly.Li, 2.32558139535, 86, 
ActiveAndroid/, harward, 8.13953488372, 86, 
ActiveAndroid/, melvin7, 8.13953488372, 86, 
ActiveAndroid/, Andrew, 0.0, 86, 
ActiveAndroid/, Fred, 10.4651162791, 86, 
ActiveAndroid/, xArthasx, 2.32558139535, 86, 
ActiveAndroid/, Jon, 0.0, 86, 
ActiveAndroid/, Lucas, 0.0, 86, 
ActiveAndroid/, Barum, 3.48837209302, 86, 
ActiveAndroid/, Markus, 27.9069767442, 86, 
ActiveAndroid/, Zachary, 6.97674418605, 86, 
ActiveAndroid/, Michael, 100.0, 86, 
ActiveAndroid/, Kelton, 0.0, 86, 
ActiveAndroid/, Brad, 3.48837209302, 86, 
ActiveAndroid/, Kelly, 0.0, 86, 
ActiveAndroid/, Vincent, 0.0, 86, 
ActiveAndroid/, Leonardo, 1.16279069767, 86, 
ActiveAndroid/, Dimitris, 0.0, 86, 
ActiveAndroid/, Carlos, 0.0, 86, 
ActiveAndroid/, Joshua, 3.48837209302, 86, 
ActiveAndroid/, Sam, 0.0, 86, 
ActiveAndroid/, jhornby, 12.7906976744, 86, 
ActiveAndroid/, waffleio, 1.16279069767, 86, 
ActiveAndroid/, Alexandr, 0.0, 86, 
ActiveAndroid/, Scott, 0.0, 86, 
ActiveAndroid/, Sean, 12.7906976744, 86, 
ActiveAndroid/, Hubert, 2.32558139535, 86, 
ADNLib/, Bryan, 4.83870967742, 124, 
ADNLib/, Rob, 49.1935483871, 124, 
ADNLib/, Derek, 99.1935483871, 124, 
ADNLib/, Falko, 2.41935483871, 124, 
AgileSites/, unknown, 0.0, 248, 
AgileSites/, Michele, 98.3870967742, 248, 
AgileSites/, msciab, 7.25806451613, 248, 
AgileSites/, Alessandro, 29.0322580645, 248, 
agit/, Michal, 0.0, 667, 
agit/, Masaki, 0.599700149925, 667, 
agit/, Roberto, 93.1034482759, 667, 
agit/, agryson, 0.0, 667, 
agit/, Samuel, 7.04647676162, 667, 
agit/, roberto, 62.8185907046, 667, 
agit/, Eddie, 0.0, 667, 
agit/, Bernd, 0.0, 667, 
agit/, Scott, 0.0, 667, 
agit/, karsten, 0.0, 667, 
agit/, Chris, 0.0, 667, 
agit/, Randall, 0.0, 667, 
agit/, Leonardo, 0.0, 667, 
agit/, Kevin, 0.0, 667, 
agmip-common-functions/, Christopher, 97.3684210526, 38, 
agmip-common-functions/, MengZhang, 76.3157894737, 38, 
agmip-common-functions/, jcufi, 31.5789473684, 38, 
ags/, Tzach, 4.22535211268, 71, 
ags/, tzachs, 0.0, 71, 
ags/, Per, 0.0, 71, 
ags/, Jochen, 0.0, 71, 
ags/, Kirill, 0.0, 71, 
ags/, Bernhard, 0.0, 71, 
ags/, SpeechCenter, 0.0, 71, 
ags/, Benjamin, 0.0, 71, 
ags/, monkey0506, 0.0, 71, 
ags/, Janet, 0.0, 71, 
ags/, Tobias, 83.0985915493, 71, 
ags/, s--d, 0.0, 71, 
ags/, Ori, 0.0, 71, 
ags/, BigMc, 0.0, 71, 
ags/, CJ, 0.0, 71, 
ags/, rofl0r, 0.0, 71, 
ags/, Steven, 0.0, 71, 
ags/, Michael, 14.0845070423, 71, 
ags/, jjsat, 88.7323943662, 71, 
ags/, Ivan, 91.5492957746, 71, 
ags/, Torbjörn, 0.0, 71, 
ags/, Cristian, 0.0, 71, 
